"","superkingdom","phylum","class","order","family","genus","species"
"X1485203","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Salinispirillum","Salinispirillum marinum"
"X.290054","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Eubacterium coprostanoligenes"
"X.116085","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Coprococcus catus"
"X.490573","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter ginsenosidimutans"
"X.480813","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella saanichensis"
"X1817964","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella","Shinella curvata"
"X.240412","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Chitinimonas","Chitinimonas taiwanensis"
"X1017177","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter tumulicola"
"X.287844.4","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus concavus"
"X1686296","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Gabonia","Gabonia massiliensis"
"X1686296.1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Gabonia","Gabonia massiliensis"
"X.682400.1","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,"Natranaerovirga","Natranaerovirga pectinivora"
"X..33039.1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques"
"X.152335","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus suebicus"
"X1297617","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,"Intestinimonas","Intestinimonas butyriciproducens"
"X1560201.1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia iniecta"
"X.152335.1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus suebicus"
"X.489971","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfonatronaceae","Desulfonatronum","Desulfonatronum buryatense"
"X1785988.1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Bombella","Bombella apis"
"X1429083","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas hussainii"
"X1286190","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter takamatsuzukensis"
"X1440509","Bacteria","Cyanobacteria",NA,"Oscillatoriales","Microcoleaceae","Laspinema","Laspinema etoshii"
"X..39496","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Eubacterium ventriosum"
"X....853","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii"
"X..28232","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Geobacter metallireducens"
"X.216942","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma litorale"
"X.182337","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia billingiae"
